iter	Passed	Remaining
0	133	133298
1	135	67429
2	136	45502
3	138	34523
4	140	27933
5	142	23527
6	143	20370
7	145	18011
8	146	16173
9	148	14695
10	150	13487
11	151	12488
12	153	11641
13	155	10916
14	156	10284
15	158	9727
16	159	9245
17	161	8825
18	163	8424
19	163	8034
20	164	7681
21	165	7360
22	166	7067
23	167	6798
24	168	6552
25	168	6323
26	169	6115
27	170	5919
28	171	5736
29	172	5565
30	172	5406
31	173	5256
32	174	5114
33	175	4981
34	176	4856
35	176	4738
36	177	4626
37	178	4522
38	179	4422
39	180	4325
40	181	4234
41	181	4147
42	182	4064
43	183	3985
44	184	3910
45	185	3837
46	185	3768
47	186	3701
48	187	3638
49	188	3577
50	189	3518
51	189	3461
52	190	3407
53	191	3355
54	192	3304
55	193	3255
56	193	3208
57	194	3162
58	195	3118
59	196	3075
60	197	3034
61	197	2994
62	198	2956
63	199	2919
64	200	2882
65	201	2847
66	202	2813
67	202	2780
68	203	2748
69	204	2716
70	205	2685
71	206	2656
72	206	2627
73	207	2599
74	208	2571
75	209	2544
76	210	2517
77	210	2492
78	211	2467
79	212	2442
80	213	2418
81	214	2395
82	214	2369
83	215	2348
84	216	2327
85	216	2305
86	217	2285
87	218	2265
88	219	2245
89	220	2226
90	221	2207
91	221	2189
92	222	2171
93	223	2153
94	224	2136
95	225	2119
96	225	2102
97	226	2085
98	227	2069
99	228	2054
100	229	2038
101	229	2023
102	230	2008
103	231	1994
104	232	1979
105	233	1966
106	233	1952
107	234	1938
108	235	1925
109	236	1912
110	237	1899
111	237	1886
112	238	1874
113	239	1861
114	240	1849
115	241	1837
116	241	1824
117	242	1813
118	243	1802
119	244	1791
120	245	1780
121	245	1768
122	246	1757
123	247	1747
124	248	1736
125	248	1726
126	249	1715
127	250	1705
128	251	1696
129	252	1686
130	252	1677
131	253	1668
132	254	1658
133	255	1649
134	256	1640
135	256	1631
136	257	1622
137	258	1614
138	259	1607
139	260	1598
140	261	1590
141	261	1581
142	262	1573
143	263	1565
144	264	1557
145	264	1549
146	265	1541
147	266	1533
148	267	1526
149	268	1519
150	268	1512
151	269	1505
152	270	1498
153	271	1491
154	272	1484
155	273	1477
156	273	1470
157	274	1464
158	275	1457
159	276	1451
160	276	1443
161	277	1436
162	278	1430
163	279	1424
164	280	1418
165	281	1411
166	281	1405
167	282	1399
168	283	1393
169	284	1387
170	285	1381
171	285	1376
172	286	1370
173	287	1366
174	288	1360
175	289	1355
176	290	1349
177	291	1344
178	291	1338
179	292	1333
180	293	1327
181	294	1322
182	295	1317
183	295	1312
184	296	1307
185	297	1302
186	298	1296
187	299	1291
188	299	1287
189	300	1282
190	301	1277
191	302	1273
192	303	1269
193	304	1264
194	305	1260
195	306	1256
196	307	1252
197	308	1248
198	308	1243
199	309	1239
200	310	1234
201	311	1230
202	312	1225
203	312	1221
204	313	1216
205	314	1212
206	315	1208
207	316	1204
208	317	1200
209	317	1195
210	318	1191
211	319	1187
212	320	1183
213	321	1179
214	321	1175
215	322	1171
216	323	1167
217	324	1163
218	325	1159
219	325	1155
220	326	1151
221	327	1147
222	328	1144
223	329	1140
224	329	1136
225	330	1132
226	331	1129
227	332	1125
228	333	1122
229	334	1118
230	334	1114
231	335	1111
232	336	1107
233	337	1104
234	338	1100
235	338	1097
236	339	1093
237	340	1089
238	341	1086
239	342	1083
240	342	1079
241	343	1076
242	344	1072
243	345	1069
244	346	1066
245	346	1063
246	347	1059
247	348	1056
248	349	1053
249	349	1049
250	350	1046
251	351	1043
252	352	1040
253	353	1037
254	354	1034
255	354	1031
256	355	1027
257	356	1024
258	357	1021
259	357	1018
260	358	1015
261	359	1012
262	360	1010
263	361	1007
264	362	1004
265	362	1001
266	363	998
267	364	995
268	365	992
269	365	989
270	366	986
271	367	983
272	368	980
273	369	978
274	369	975
275	370	972
276	371	969
277	372	967
278	373	964
279	374	962
280	374	959
281	375	956
282	376	954
283	377	951
284	378	948
285	379	946
286	379	943
287	380	941
288	381	938
289	382	935
290	383	933
291	383	930
292	384	928
293	385	925
294	386	923
295	387	921
296	388	918
297	389	916
298	390	914
299	391	912
300	392	910
301	393	908
302	393	905
303	394	903
304	395	900
305	396	898
306	397	896
307	397	894
308	398	891
309	399	889
310	400	886
311	401	884
312	401	882
313	402	879
314	403	877
315	404	875
316	405	873
317	405	870
318	406	868
319	407	866
320	408	864
321	409	862
322	410	859
323	410	857
324	411	855
325	412	853
326	413	850
327	414	848
328	415	846
329	415	844
330	416	842
331	417	840
332	418	837
333	419	835
334	419	833
335	420	831
336	421	829
337	422	827
338	423	825
339	423	822
340	424	820
341	425	818
342	426	816
343	427	814
344	427	812
345	428	810
346	429	808
347	430	806
348	431	804
349	432	802
350	433	800
351	433	798
352	434	796
353	435	794
354	436	792
355	437	790
356	437	788
357	438	786
358	439	784
359	440	782
360	441	780
361	441	778
362	442	776
363	443	774
364	444	773
365	445	771
366	445	769
367	446	767
368	447	765
369	448	763
370	449	761
371	449	759
372	450	757
373	451	755
374	452	754
375	453	752
376	454	750
377	454	748
378	455	746
379	456	744
380	457	742
381	458	741
382	458	739
383	459	737
384	460	735
385	461	733
386	462	732
387	462	730
388	463	728
389	464	726
390	465	724
391	466	722
392	466	721
393	467	719
394	468	717
395	469	715
396	470	714
397	470	712
